Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
12/09/2020,Fulham,Arsenal,0,3,A,6.0,4.33,1.53
12/09/2020,Crystal Palace,Southampton,1,0,H,3.1,3.25,2.37
12/09/2020,Liverpool,Leeds,4,3,H,1.28,6.0,9.5
12/09/2020,West Ham,Newcastle,0,2,A,2.15,3.4,3.4
13/09/2020,West Brom,Leicester,0,3,A,3.8,3.6,1.95
13/09/2020,Tottenham,Everton,0,1,A,1.83,3.6,4.33
14/09/2020,Brighton,Chelsea,1,3,A,5.0,4.33,1.61
14/09/2020,Sheffield United,Wolves,0,2,A,3.25,3.1,2.37
19/09/2020,Everton,West Brom,5,2,H,1.5,4.2,6.5
19/09/2020,Leeds,Fulham,4,3,H,1.61,3.9,5.75
19/09/2020,Man United,Crystal Palace,1,3,A,1.3,5.5,9.5
19/09/2020,Arsenal,West Ham,2,1,H,1.53,4.5,5.5
20/09/2020,Southampton,Tottenham,2,5,A,3.0,3.3,2.37
20/09/2020,Newcastle,Brighton,0,3,A,2.6,3.1,2.87
20/09/2020,Chelsea,Liverpool,0,2,A,3.1,3.6,2.2
20/09/2020,Leicester,Burnley,4,2,H,1.61,4.0,5.5
21/09/2020,Aston Villa,Sheffield United,1,0,H,2.7,3.1,2.75
21/09/2020,Wolves,Man City,1,3,A,6.5,4.33,1.5
26/09/2020,Brighton,Man United,2,3,A,4.75,3.75,1.72
26/09/2020,Crystal Palace,Everton,1,2,A,3.75,3.25,2.1
26/09/2020,West Brom,Chelsea,3,3,D,9.0,4.75,1.36
26/09/2020,Burnley,Southampton,0,1,A,3.2,3.3,2.3
27/09/2020,Sheffield United,Leeds,0,1,A,2.7,3.3,2.62
27/09/2020,Tottenham,Newcastle,1,1,D,1.45,4.5,7.0
27/09/2020,Man City,Leicester,2,5,A,1.28,6.0,9.5
27/09/2020,West Ham,Wolves,4,0,H,3.6,3.5,2.05
28/09/2020,Fulham,Aston Villa,0,3,A,2.9,3.25,2.5
28/09/2020,Liverpool,Arsenal,3,1,H,1.45,4.75,6.5
03/10/2020,Chelsea,Crystal Palace,4,0,H,1.4,4.75,8.0
03/10/2020,Everton,Brighton,4,2,H,1.72,3.75,4.8
03/10/2020,Leeds,Man City,1,1,D,7.5,5.25,1.36
03/10/2020,Newcastle,Burnley,3,1,H,2.4,3.2,3.1
04/10/2020,Leicester,West Ham,0,3,A,1.61,4.2,5.25
04/10/2020,Southampton,West Brom,2,0,H,1.72,3.8,4.75
04/10/2020,Arsenal,Sheffield United,2,1,H,1.57,4.0,6.0
04/10/2020,Wolves,Fulham,1,0,H,1.5,4.0,7.5
04/10/2020,Man United,Tottenham,1,6,A,1.85,3.8,4.0
04/10/2020,Aston Villa,Liverpool,7,2,H,10.0,5.5,1.3
17/10/2020,Everton,Liverpool,2,2,D,3.75,4.2,1.83
17/10/2020,Chelsea,Southampton,3,3,D,1.45,4.75,6.5
17/10/2020,Man City,Arsenal,1,0,H,1.44,5.0,6.5
17/10/2020,Newcastle,Man United,1,4,A,4.75,4.0,1.66
18/10/2020,Sheffield United,Fulham,1,1,D,2.1,3.3,3.7
18/10/2020,Crystal Palace,Brighton,1,1,D,2.62,3.3,2.7
18/10/2020,Tottenham,West Ham,3,3,D,1.57,4.33,5.5
18/10/2020,Leicester,Aston Villa,0,1,A,1.83,3.8,4.1
19/10/2020,West Brom,Burnley,0,0,D,2.45,3.3,2.9
19/10/2020,Leeds,Wolves,0,1,A,2.5,3.3,2.87
23/10/2020,Aston Villa,Leeds,0,3,A,2.05,3.75,3.3
24/10/2020,West Ham,Man City,1,1,D,8.0,5.25,1.36
24/10/2020,Fulham,Crystal Palace,1,2,A,2.75,3.1,2.7
24/10/2020,Man United,Chelsea,0,0,D,2.37,3.6,2.8
24/10/2020,Liverpool,Sheffield United,2,1,H,1.22,6.5,12.0
25/10/2020,Southampton,Everton,2,0,H,2.75,3.4,2.55
25/10/2020,Wolves,Newcastle,1,1,D,1.75,3.5,5.25
25/10/2020,Arsenal,Leicester,0,1,A,1.9,3.75,3.8
26/10/2020,Brighton,West Brom,1,1,D,1.7,4.0,4.75
26/10/2020,Burnley,Tottenham,0,1,A,5.75,4.0,1.6
30/10/2020,Wolves,Crystal Palace,2,0,H,2.0,3.2,4.33
31/10/2020,Sheffield United,Man City,0,1,A,9.5,6.0,1.28
31/10/2020,Burnley,Chelsea,0,3,A,6.0,4.5,1.5
31/10/2020,Liverpool,West Ham,2,1,H,1.36,5.25,7.5
01/11/2020,Aston Villa,Southampton,3,4,A,2.45,3.5,2.8
01/11/2020,Newcastle,Everton,2,1,H,3.7,3.4,2.05
01/11/2020,Man United,Arsenal,0,1,A,2.0,3.6,3.6
01/11/2020,Tottenham,Brighton,2,1,H,1.61,4.0,5.5
02/11/2020,Fulham,West Brom,2,0,H,2.4,3.3,3.0
02/11/2020,Leeds,Leicester,1,4,A,2.5,3.6,2.62
06/11/2020,Brighton,Burnley,0,0,D,1.85,3.5,4.33
06/11/2020,Southampton,Newcastle,2,0,H,2.0,3.6,3.7
07/11/2020,Everton,Man United,1,3,A,2.9,3.5,2.37
07/11/2020,Crystal Palace,Leeds,4,1,H,2.87,3.4,2.45
07/11/2020,Chelsea,Sheffield United,4,1,H,1.36,5.0,8.5
07/11/2020,West Ham,Fulham,1,0,H,1.83,3.75,4.2
08/11/2020,West Brom,Tottenham,0,1,A,7.0,4.33,1.45
08/11/2020,Leicester,Wolves,1,0,H,2.3,3.2,3.25
08/11/2020,Man City,Liverpool,1,1,D,1.95,4.2,3.4
08/11/2020,Arsenal,Aston Villa,0,3,A,1.65,4.1,5.0
21/11/2020,Newcastle,Chelsea,0,2,A,6.5,4.75,1.45
21/11/2020,Aston Villa,Brighton,1,2,A,2.15,3.6,3.2
21/11/2020,Tottenham,Man City,2,0,H,4.0,4.0,1.8
21/11/2020,Man United,West Brom,1,0,H,1.3,5.5,9.5
22/11/2020,Fulham,Everton,2,3,A,3.9,3.9,1.85
22/11/2020,Sheffield United,West Ham,0,1,A,3.0,3.25,2.4
22/11/2020,Leeds,Arsenal,0,0,D,3.0,3.75,2.2
22/11/2020,Liverpool,Leicester,3,0,H,1.85,4.0,3.8
23/11/2020,Burnley,Crystal Palace,1,0,H,2.75,3.1,2.75
23/11/2020,Wolves,Southampton,1,1,D,2.3,3.25,3.25
27/11/2020,Crystal Palace,Newcastle,0,2,A,2.05,3.25,3.75
28/11/2020,Brighton,Liverpool,1,1,D,5.5,4.2,1.57
28/11/2020,Man City,Burnley,5,0,H,1.16,7.5,16.0
28/11/2020,Everton,Leeds,0,1,A,1.95,3.8,3.6
28/11/2020,West Brom,Sheffield United,1,0,H,2.6,3.2,2.8
29/11/2020,Southampton,Man United,2,3,A,4.0,3.5,1.95
29/11/2020,Chelsea,Tottenham,0,0,D,2.05,3.5,3.6
29/11/2020,Arsenal,Wolves,1,2,A,2.05,3.4,3.75
30/11/2020,Leicester,Fulham,1,2,A,1.5,4.33,6.5
30/11/2020,West Ham,Aston Villa,2,1,H,2.25,3.6,3.0
05/12/2020,Burnley,Everton,1,1,D,4.0,3.5,1.9
05/12/2020,Man City,Fulham,2,0,H,1.1,11.0,19.0
05/12/2020,West Ham,Man United,1,3,A,3.6,3.6,2.0
05/12/2020,Chelsea,Leeds,3,1,H,1.5,4.5,6.0
06/12/2020,West Brom,Crystal Palace,1,5,A,2.87,3.2,2.55
06/12/2020,Sheffield United,Leicester,1,2,A,3.8,3.5,1.95
06/12/2020,Tottenham,Arsenal,2,0,H,1.95,3.6,3.8
06/12/2020,Liverpool,Wolves,4,0,H,1.5,4.33,6.5
07/12/2020,Brighton,Southampton,1,2,A,2.45,3.4,2.9
11/12/2020,Leeds,West Ham,1,2,A,2.15,3.7,3.1
12/12/2020,Wolves,Aston Villa,0,1,A,2.25,3.25,3.25
12/12/2020,Newcastle,West Brom,2,1,H,2.45,3.2,3.0
12/12/2020,Man United,Man City,0,0,D,4.33,4.2,1.72
12/12/2020,Everton,Chelsea,1,0,H,4.33,4.2,1.7
13/12/2020,Southampton,Sheffield United,3,0,H,1.7,3.75,5.0
13/12/2020,Crystal Palace,Tottenham,1,1,D,4.5,3.9,1.72
13/12/2020,Fulham,Liverpool,1,1,D,9.0,5.5,1.3
13/12/2020,Arsenal,Burnley,0,1,A,1.53,4.2,6.25
